chr	gene_id	gene_name	start	end	gene_type
1	ENSG00000069812	HES2	6472478	6484730	protein_coding
1	ENSG00000162408	NOL9	6581407	6614595	protein_coding
1	ENSG00000173662	TAS1R1	6615241	6639817	protein_coding
1	ENSG00000116273	PHF13	6673745	6684093	protein_coding
1	ENSG00000171735	CAMTA1	6845384	7829766	protein_coding
1	ENSG00000227950	RP11-312B8.2	6894393	6894678	pseudogene
1	ENSG00000270035	RP11-338N10.2	7758363	7758932	lincRNA
1	ENSG00000049246	PER3	7844380	7905237	protein_coding
1	ENSG00000049249	TNFRSF9	7979907	8000926	protein_coding
1	ENSG00000270330	RP5-892F13.2	8002432	8002786	pseudogene
1	ENSG00000238290	RP11-431K24.1	8086798	8182762	lincRNA
1	ENSG00000229305	RP11-431K24.2	8249884	8252830	pseudogene
1	ENSG00000142599	RERE	8412457	8877702	protein_coding
1	ENSG00000234619	RP4-633I8.1	8810489	8811146	pseudogene
1	ENSG00000226545	RP4-633I8.3	8858534	8859565	pseudogene
1	ENSG00000228423	RP4-633I8.4	8865919	8867110	lincRNA
1	ENSG00000232663	RP3-477M7.6	8969801	8969963	pseudogene
1	ENSG00000188807	TMEM201	9648932	9674935	protein_coding
1	ENSG00000162441	LZIC	9982173	10003465	protein_coding
1	ENSG00000162444	RBP7	10057264	10076078	protein_coding
1	ENSG00000225786	AL590639.1	10078085	10078592	pseudogene
1	ENSG00000233623	PGAM1P11	10118729	10119706	pseudogene
1	ENSG00000054523	KIF1B	10270863	10441661	protein_coding
1	ENSG00000241563	CORT	10509776	10511959	protein_coding
1	ENSG00000142655	PEX14	10532345	10690815	protein_coding
1	ENSG00000225158	RP11-340B24.3	10955818	10956055	pseudogene
1	ENSG00000120948	TARDBP	11072414	11085796	protein_coding
1	ENSG00000116649	SRM	11114641	11120081	protein_coding
1	ENSG00000238173	RPL39P6	11293020	11293169	pseudogene
1	ENSG00000224338	RP11-149P14.1	11485314	11485878	pseudogene
1	ENSG00000116663	FBXO6	11724181	11734411	protein_coding
1	ENSG00000177674	AGTRAP	11796141	11814859	protein_coding
1	ENSG00000177000	MTHFR	11845780	11866977	protein_coding
1	ENSG00000175206	NPPA	11905766	11908402	protein_coding
1	ENSG00000083444	PLOD1	11994262	12035595	protein_coding
1	ENSG00000116691	MIIP	12079523	12092102	protein_coding
1	ENSG00000120949	TNFRSF8	12123434	12204264	protein_coding
1	ENSG00000028137	TNFRSF1B	12227060	12269285	protein_coding
1	ENSG00000188984	AADACL3	12776118	12788726	protein_coding
1	ENSG00000116726	PRAMEF12	12834984	12838049	protein_coding
1	ENSG00000228338	RP5-845O24.8	12882549	12883022	lincRNA
1	ENSG00000204513	PRAMEF11	12884468	12891264	protein_coding
1	ENSG00000231103	RP5-845O24.3	12897978	12901210	pseudogene
1	ENSG00000120952	PRAMEF2	12916941	12921764	protein_coding
1	ENSG00000204510	PRAMEF7	12976450	12980569	protein_coding
1	ENSG00000232423	PRAMEF6	12998181	13117751	protein_coding
1	ENSG00000250894	RP11-450I1.4	13012966	13015755	pseudogene
1	ENSG00000239810	WI2-3308P17.2	13052394	13052998	protein_coding
1	ENSG00000270601	RP13-221M14.7	13108842	13112679	pseudogene
1	ENSG00000179412	HNRNPCP5	13182960	13184326	pseudogene
1	ENSG00000229571	WI2-2994D6.2	13216356	13219581	protein_coding
1	ENSG00000204502	PRAMEF5	13359819	13369057	protein_coding
1	ENSG00000231219	RP11-219C24.8	13379149	13381237	pseudogene
1	ENSG00000182330	PRAMEF8	13386646	13390765	protein_coding
1	ENSG00000237700	RP11-219C24.6	13411551	13414482	pseudogene
1	ENSG00000204488	PRAMEF16	13495254	13498260	protein_coding
1	ENSG00000204480	PRAMEF19	13694889	13698405	protein_coding
1	ENSG00000162494	LRRC38	13801445	13840543	protein_coding
1	ENSG00000162493	PDPN	13909960	13944452	protein_coding
1	ENSG00000234593	RP4-704D23.1	14675450	14677518	lincRNA
1	ENSG00000189337	KAZN	14925200	15444539	protein_coding
1	ENSG00000235829	TBCAP2	15018625	15019109	pseudogene
1	ENSG00000171729	TMEM51	15479028	15546976	protein_coding
1	ENSG00000142621	FHAD1	15573768	15726858	protein_coding
1	ENSG00000142615	CELA2A	15783223	15798586	protein_coding
1	ENSG00000116138	DNAJC16	15853308	15918874	protein_coding
1	ENSG00000116771	AGMAT	15898848	15911605	protein_coding
1	ENSG00000236500	RP4-680D5.4	15941138	15941362	pseudogene
1	ENSG00000215695	RSC1A1	15986364	15988217	protein_coding
1	ENSG00000233954	RP11-169K16.7	16133679	16134194	pseudogene
1	ENSG00000224966	TBC1D3P6	16316366	16321246	pseudogene
1	ENSG00000142627	EPHA2	16450832	16482582	protein_coding
1	ENSG00000204377	C1orf134	16555368	16556038	protein_coding
1	ENSG00000037637	FBXO42	16573334	16678949	protein_coding
1	ENSG00000187144	SPATA21	16713612	16763919	protein_coding
1	ENSG00000226029	RP4-798A10.2	16787443	16794976	lincRNA
1	ENSG00000261135	RP4-798A10.7	16841140	16842249	lincRNA
1	ENSG00000268869	ESPNP	17013834	17046652	pseudogene
1	ENSG00000058453	CROCC	17066768	17299474	protein_coding
1	ENSG00000230239	RP11-108M9.2	17181902	17185779	lincRNA
1	ENSG00000238142	RP11-108M9.4	17215033	17216144	lincRNA
1	ENSG00000272426	RP11-108M9.6	17230834	17231271	lincRNA
1	ENSG00000117122	MFAP2	17300997	17307330	protein_coding
1	ENSG00000117118	SDHB	17345217	17380665	protein_coding
1	ENSG00000261781	RP11-174G17.2	18392151	18400906	lincRNA
1	ENSG00000117154	IGSF21	18434240	18704977	protein_coding
1	ENSG00000225387	RP11-422P22.1	18712323	18715008	lincRNA
1	ENSG00000179023	KLHDC7A	18807424	18812478	protein_coding
1	ENSG00000235282	RP1-8B22.1	18839612	18839881	pseudogene
1	ENSG00000009709	PAX7	18957500	19075360	protein_coding
1	ENSG00000159423	ALDH4A1	19197926	19229275	protein_coding
1	ENSG00000169991	IFFO2	19230775	19283180	protein_coding
1	ENSG00000053372	MRTO4	19578033	19586622	protein_coding
1	ENSG00000040487	PQLC2	19638820	19655794	protein_coding
1	ENSG00000162542	TMCO4	20008706	20126438	protein_coding
1	ENSG00000169914	OTUD3	20209006	20239438	protein_coding
1	ENSG00000188257	PLA2G2A	20301925	20306932	protein_coding
1	ENSG00000158786	PLA2G2F	20465819	20476879	protein_coding
1	ENSG00000228105	RP3-340N1.6	20569588	20571148	lincRNA
1	ENSG00000158816	VWA5B1	20617412	20681387	protein_coding
1	ENSG00000236963	RP4-749H3.1	20687072	20757727	lincRNA
1	ENSG00000158828	PINK1	20959948	20978004	protein_coding
1	ENSG00000244038	DDOST	20978270	20988000	protein_coding
1	ENSG00000189410	SH2D5	21046225	21059330	protein_coding
1	ENSG00000233072	RP11-487E1.1	21330043	21330427	pseudogene
1	ENSG00000186543	CROCCP5	21760811	21764051	pseudogene
1	ENSG00000271428	RP1-224A6.8	22394833	22395320	pseudogene
1	ENSG00000271840	RP1-224A6.9	22427106	22427853	lincRNA
1	ENSG00000162552	WNT4	22443798	22470462	protein_coding
1	ENSG00000184677	ZBTB40	22778344	22857650	protein_coding
1	ENSG00000173372	C1QA	22962999	22966101	protein_coding
1	ENSG00000133216	EPHB2	23037332	23241818	protein_coding
1	ENSG00000227868	C1orf234	23337327	23342343	protein_coding
1	ENSG00000179546	HTR1D	23516993	23521222	protein_coding
1	ENSG00000215381	RP5-1057J7.1	23571258	23571717	pseudogene
1	ENSG00000261326	RP5-1057J7.6	23607802	23613245	lincRNA
1	ENSG00000125944	HNRNPR	23630264	23670829	protein_coding
1	ENSG00000057757	PITHD1	24104895	24114722	protein_coding
1	ENSG00000117305	HMGCL	24128375	24165110	protein_coding
1	ENSG00000189266	PNRC2	24285599	24289952	protein_coding
1	ENSG00000142677	IL22RA1	24446261	24469611	protein_coding
1	ENSG00000230023	RP11-10N16.2	24526730	24538183	lincRNA
1	ENSG00000158055	GRHL3	24645812	24690972	protein_coding
1	ENSG00000117602	RCAN3	24829387	24867530	protein_coding
1	ENSG00000264443	RP4-594I10.3	24865292	24882515	lincRNA
1	ENSG00000184454	NCMAP	24882602	24935819	protein_coding
1	ENSG00000227312	RP11-496D1.2	24890118	24890465	pseudogene
1	ENSG00000133226	SRRM1	24958207	24999758	protein_coding
1	ENSG00000233755	RP4-799D16.1	25370198	25439611	lincRNA
1	ENSG00000117616	C1orf63	25568728	25664704	protein_coding
1	ENSG00000187010	RHD	25598884	25656936	protein_coding
1	ENSG00000224183	SDHDP6	25620655	25621134	pseudogene
1	ENSG00000183726	TMEM50A	25664408	25688852	protein_coding
1	ENSG00000188672	RHCE	25688740	25756683	protein_coding
1	ENSG00000238084	RP3-469D22.1	25725203	25725771	pseudogene
1	ENSG00000204178	TMEM57	25757388	25826700	protein_coding
1	ENSG00000225643	RP11-70P17.1	25907969	25916847	lincRNA
1	ENSG00000117643	MAN1C1	25943959	26112698	protein_coding
1	ENSG00000255054	RP1-317E23.6	26137961	26150235	protein_coding
1	ENSG00000223474	AL020996.1	26145212	26147288	protein_coding
1	ENSG00000117632	STMN1	26210672	26233482	protein_coding
1	ENSG00000229786	SNRPFP2	26213851	26214101	pseudogene
1	ENSG00000158008	EXTL1	26346375	26362955	protein_coding
1	ENSG00000142684	ZNF593	26496362	26498551	protein_coding
1	ENSG00000188782	CATSPER4	26517052	26529459	protein_coding
1	ENSG00000236155	RP11-231P20.2	26536232	26556331	pseudogene
1	ENSG00000169442	CD52	26644448	26647014	protein_coding
1	ENSG00000117682	DHDDS	26758773	26797785	protein_coding
1	ENSG00000223583	RP3-476K8.4	26781144	26781678	pseudogene
1	ENSG00000198830	HMGN2	26798941	26802463	protein_coding
1	ENSG00000224129	DPPA2P2	26845845	26846741	pseudogene
1	ENSG00000060642	PIGV	27113963	27124889	protein_coding
1	ENSG00000175793	SFN	27189633	27190947	protein_coding
1	ENSG00000198746	GPATCH3	27216979	27226957	protein_coding
1	ENSG00000175707	C1orf172	27276053	27286897	protein_coding
1	ENSG00000172746	RP11-344H11.4	27306656	27307466	pseudogene
1	ENSG00000090020	SLC9A1	27425306	27493472	protein_coding
1	ENSG00000229985	RP11-40H20.5	27503242	27503768	pseudogene
1	ENSG00000225990	SNRPEP7	27537756	27537975	pseudogene
1	ENSG00000142784	WDTC1	27561007	27635110	protein_coding
1	ENSG00000186501	TMEM222	27648651	27662891	protein_coding
1	ENSG00000142765	SYTL1	27668513	27680421	protein_coding
1	ENSG00000174950	CD164L2	27705666	27709870	protein_coding
1	ENSG00000231207	RP1-144C9.2	27715972	27716649	pseudogene
1	ENSG00000158195	WASF2	27730730	27816669	protein_coding
1	ENSG00000126705	AHDC1	27860546	27930942	protein_coding
1	ENSG00000226662	CHMP1AP1	28013321	28013982	pseudogene
1	ENSG00000009780	FAM76A	28052490	28089633	protein_coding
1	ENSG00000231344	RP3-426I6.2	28065602	28065950	pseudogene
1	ENSG00000117758	STX12	28099694	28150963	protein_coding
1	ENSG00000268552	AL109927.1	28177085	28177255	protein_coding
1	ENSG00000130768	SMPDL3B	28261504	28285668	protein_coding
1	ENSG00000158161	EYA3	28296855	28415207	protein_coding
1	ENSG00000238231	RP11-460I13.6	28316669	28317035	pseudogene
1	ENSG00000228943	RP5-1053E7.2	28436250	28436809	pseudogene
1	ENSG00000126698	DNAJC8	28525967	28559536	protein_coding
1	ENSG00000130770	ATPIF1	28562620	28573417	protein_coding
1	ENSG00000271398	RP5-1092A3.5	28573655	28574079	lincRNA
1	ENSG00000130766	SESN2	28586038	28609002	protein_coding
1	ENSG00000229820	RP1-308E4.1	28780052	28780445	pseudogene
1	ENSG00000180198	RCC1	28832455	28865812	protein_coding
1	ENSG00000231468	PRDX3P2	28852830	28853739	pseudogene
1	ENSG00000188060	RAB42	28918712	28921955	protein_coding
1	ENSG00000270103	RNU11	28975112	28975245	lincRNA
1	ENSG00000162419	GMEB1	28995244	29045865	protein_coding
1	ENSG00000116329	OPRD1	29138654	29190208	protein_coding
1	ENSG00000225750	RP11-242O24.3	29471006	29473506	lincRNA
1	ENSG00000116350	SRSF4	29474255	29508499	protein_coding
1	ENSG00000233372	RP5-893G23.1	30613110	30614454	lincRNA
1	ENSG00000231949	RP4-591L5.2	30888672	30893955	lincRNA
1	ENSG00000162510	MATN1	31184124	31196434	protein_coding
1	ENSG00000223382	RP1-65J11.1	31297075	31307131	lincRNA
1	ENSG00000134644	PUM1	31404353	31538838	protein_coding
1	ENSG00000237329	RP11-201O14.1	31509581	31510087	pseudogene
1	ENSG00000225142	RP11-490K7.1	31581035	31581470	pseudogene
1	ENSG00000060688	SNRNP40	31732417	31769662	protein_coding
1	ENSG00000229447	RP11-490K7.4	31736092	31736528	pseudogene
1	ENSG00000268950	AC114494.1	31902192	31902614	protein_coding
1	ENSG00000215899	RP11-439L8.2	31960436	31961777	pseudogene
1	ENSG00000142910	TINAGL1	32042116	32053288	protein_coding
1	ENSG00000121753	BAI2	32192718	32230494	protein_coding
1	ENSG00000134668	SPOCD1	32256023	32281652	protein_coding
1	ENSG00000269967	RP11-84A19.4	32317514	32387442	lincRNA
1	ENSG00000184007	PTP4A2	32372022	32410457	protein_coding
1	ENSG00000228634	RP4-534N18.2	32398621	32399576	lincRNA
1	ENSG00000121774	KHDRBS1	32479430	32526451	protein_coding
1	ENSG00000084652	TXLNA	32645287	32663886	protein_coding
1	ENSG00000160051	IQCC	32671236	32674288	protein_coding
1	ENSG00000084623	EIF3I	32687529	32697205	protein_coding
1	ENSG00000220785	MTMR9LP	32697259	32707221	pseudogene
1	ENSG00000182866	LCK	32716840	32751766	protein_coding
1	ENSG00000175130	MARCKSL1	32799433	32801980	protein_coding
1	ENSG00000225828	FAM229A	32826871	32829879	protein_coding
1	ENSG00000229259	LRRC37A12P	32888815	32892390	pseudogene
1	ENSG00000254553	RP1-27O5.3	32930658	33066393	protein_coding
1	ENSG00000176261	ZBTB8OS	33065773	33116504	protein_coding
1	ENSG00000162520	SYNC	33145507	33169197	protein_coding
1	ENSG00000134684	YARS	33240840	33283754	protein_coding
1	ENSG00000121905	HPCA	33351595	33364042	protein_coding
1	ENSG00000116514	RNF19B	33402046	33430286	protein_coding
1	ENSG00000142920	ADC	33546705	33586131	protein_coding
1	ENSG00000256142	AL513327.1	33764975	33766320	pseudogene
1	ENSG00000121904	CSMD2	33979609	34631443	protein_coding
1	ENSG00000227000	HSPD1P14	34304124	34305741	pseudogene
1	ENSG00000270241	RP4-657M3.2	34742460	34742893	pseudogene
1	ENSG00000163866	SMIM12	35178338	35325417	protein_coding
1	ENSG00000187513	GJA4	35258599	35261348	protein_coding
1	ENSG00000243749	ZMYM6NB	35447136	35450954	protein_coding
1	ENSG00000197056	ZMYM1	35525387	35581460	protein_coding
1	ENSG00000228348	EFCAB14P1	35587623	35588085	pseudogene
1	ENSG00000116819	TFAP2E	36038971	36060929	protein_coding
1	ENSG00000142686	C1orf216	36179476	36185073	protein_coding
1	ENSG00000134698	AGO4	36273773	36323491	protein_coding
1	ENSG00000171812	COL8A2	36560837	36590821	protein_coding
1	ENSG00000214193	SH3D21	36771988	36790484	protein_coding
1	ENSG00000196182	STK40	36805225	36851497	protein_coding
1	ENSG00000116885	OSCP1	36881428	36916086	protein_coding
1	ENSG00000119535	CSF3R	36931644	36948879	protein_coding
1	ENSG00000230214	FTLP18	37095936	37096458	pseudogene
1	ENSG00000163873	GRIK3	37261128	37499730	protein_coding
1	ENSG00000169218	RSPO1	38076951	38100595	protein_coding
1	ENSG00000183317	EPHA10	38179552	38230805	protein_coding
1	ENSG00000227416	RP11-109P14.2	38248129	38248557	pseudogene
1	ENSG00000188786	MTF1	38275239	38325292	protein_coding
1	ENSG00000183386	FHL3	38462442	38471278	protein_coding
1	ENSG00000223589	RP5-884C9.3	38546244	38546583	pseudogene
1	ENSG00000238063	RP11-329N22.1	38940868	38942156	lincRNA
1	ENSG00000214114	MYCBP	39328636	39347289	protein_coding
1	ENSG00000174574	AKIRIN1	39456895	39471731	protein_coding
1	ENSG00000217897	RP11-420K8.2	39769966	39770570	pseudogene
1	ENSG00000183682	BMP8A	39957318	39991607	protein_coding
1	ENSG00000237624	OXCT2P1	39980628	39982162	pseudogene
1	ENSG00000116981	NT5C1A	40124793	40137710	protein_coding
1	ENSG00000198754	OXCT2	40235195	40237020	protein_coding
1	ENSG00000043514	TRIT1	40306723	40349183	protein_coding
1	ENSG00000188800	TMCO2	40711619	40717363	protein_coding
1	ENSG00000084070	SMAP2	40810522	40888998	protein_coding
1	ENSG00000213172	RP1-228H13.2	40830438	40830855	pseudogene
1	ENSG00000164002	EXO5	40974413	40982228	protein_coding
1	ENSG00000117010	ZNF684	40997233	41013841	protein_coding
1	ENSG00000236505	RP1-63P18.2	41029206	41029331	pseudogene
1	ENSG00000117016	RIMS3	41086351	41131329	protein_coding
1	ENSG00000066136	NFYC	41157320	41237275	protein_coding
1	ENSG00000117013	KCNQ4	41249684	41306124	protein_coding
1	ENSG00000228940	RP11-348A7.1	41403776	41405435	pseudogene
1	ENSG00000171793	CTPS1	41445007	41478235	protein_coding
1	ENSG00000204060	FOXO6	41827594	41849262	protein_coding
1	ENSG00000127129	EDN2	41944446	41950344	protein_coding
1	ENSG00000198815	FOXJ3	42642210	42801548	protein_coding
1	ENSG00000186409	CCDC30	42929001	43120335	protein_coding
1	ENSG00000230116	RP11-163G10.2	42957410	42958164	pseudogene
1	ENSG00000236180	RP11-163G10.4	43036641	43037061	pseudogene
1	ENSG00000117385	LEPRE1	43212006	43232755	protein_coding
1	ENSG00000177868	CCDC23	43272723	43282954	protein_coding
1	ENSG00000237090	RP11-342M1.6	43356765	43358101	pseudogene
1	ENSG00000117394	SLC2A1	43391052	43424530	protein_coding
1	ENSG00000243710	WDR65	43637820	43720029	protein_coding
1	ENSG00000253313	C1orf210	43747554	43751288	protein_coding
1	ENSG00000159479	MED8	43849588	43855479	protein_coding
1	ENSG00000142949	PTPRF	43990858	44089343	protein_coding
1	ENSG00000126091	ST3GAL3	44171495	44396831	protein_coding
1	ENSG00000224751	SHMT1P1	44315972	44317283	pseudogene
1	ENSG00000117410	ATP6V0B	44440159	44443967	protein_coding
1	ENSG00000196517	SLC6A9	44457172	44497139	protein_coding
1	ENSG00000239275	RP4-675G8.2	44603514	44604485	pseudogene
1	ENSG00000238037	RP4-675G8.4	44620700	44620973	pseudogene
1	ENSG00000187147	RNF220	44870866	45117396	protein_coding
1	ENSG00000198520	C1orf228	45140364	45191263	protein_coding
1	ENSG00000142945	KIF2C	45205490	45233439	protein_coding
1	ENSG00000234093	RP11-269F19.4	45245998	45246387	pseudogene
1	ENSG00000173846	PLK3	45265897	45271662	protein_coding
1	ENSG00000117425	PTCH2	45285516	45308735	protein_coding
1	ENSG00000070785	EIF2B3	45316450	45452282	protein_coding
1	ENSG00000232369	RP5-882O7.4	45453906	45454397	pseudogene
1	ENSG00000126107	HECTD3	45468212	45477001	protein_coding
1	ENSG00000234315	OSTCP5	45535649	45536101	pseudogene
1	ENSG00000186603	HPDL	45792545	45794347	protein_coding
1	ENSG00000070759	TESK2	45809555	45956872	protein_coding
1	ENSG00000236624	CCDC163P	45959538	45965751	protein_coding
1	ENSG00000159588	CCDC17	46085716	46089729	protein_coding
1	ENSG00000236111	RP11-630I5.1	46246949	46247629	pseudogene
1	ENSG00000085999	RAD54L	46713360	46744145	protein_coding
1	ENSG00000117481	NSUN4	46805849	46830824	protein_coding
1	ENSG00000225779	RP4-603I14.3	46836258	46836627	pseudogene
1	ENSG00000225667	LINC00505	46921495	46948147	lincRNA
1	ENSG00000197587	DMBX1	46972668	46979898	protein_coding
1	ENSG00000079277	MKNK1	47023090	47082515	protein_coding
1	ENSG00000159658	EFCAB14	47124366	47184824	protein_coding
1	ENSG00000233647	RP11-8J9.1	47131582	47132047	pseudogene
1	ENSG00000236476	RP11-8J9.5	47208001	47208805	pseudogene
1	ENSG00000238145	RP11-346M5.1	47357311	47358502	pseudogene
1	ENSG00000186377	CYP4X1	47427036	47516423	protein_coding
1	ENSG00000259832	RP11-346M5.6	47433351	47433546	pseudogene
1	ENSG00000261290	RP11-346M5.3	47468667	47468820	pseudogene
1	ENSG00000162367	TAL1	47681962	47697892	protein_coding
1	ENSG00000162368	CMPK1	47799469	47844511	protein_coding
1	ENSG00000269113	RP11-543D5.4	48226200	48230668	lincRNA
1	ENSG00000225028	RP11-330M19.1	48283738	48285909	lincRNA
1	ENSG00000223720	RP5-1024N4.2	48671637	48672515	lincRNA
1	ENSG00000117834	SLC5A9	48688357	48714316	protein_coding
1	ENSG00000232514	RP11-329A14.2	48962935	48963408	pseudogene
1	ENSG00000162373	BEND5	49193195	49242641	protein_coding
1	ENSG00000225671	FCF1P6	50871102	50871696	pseudogene
1	ENSG00000237130	MRPS6P2	51312140	51312509	pseudogene
1	ENSG00000227742	CALR4P	52027538	52060569	pseudogene
1	ENSG00000232846	SLC25A6P3	52174734	52175612	pseudogene
1	ENSG00000078618	NRD1	52254863	52344477	protein_coding
1	ENSG00000230604	TSEN15P2	52325450	52325807	pseudogene
1	ENSG00000198841	KTI12	52497775	52499488	protein_coding
1	ENSG00000134717	BTF3L4	52521797	52556388	protein_coding
1	ENSG00000223429	RP4-800M22.2	52627858	52628698	pseudogene
1	ENSG00000237663	DNAJC19P7	52717734	52718445	pseudogene
1	ENSG00000154222	CC2D1B	52811395	52831865	protein_coding
1	ENSG00000085840	ORC1	52838501	52870131	protein_coding
1	ENSG00000116157	GPX7	53068044	53074723	protein_coding
1	ENSG00000228929	RP11-159C21.4	53237866	53238320	pseudogene
1	ENSG00000203995	ZYG11A	53308183	53360670	protein_coding
1	ENSG00000231866	RP4-631H13.4	53390921	53391095	pseudogene
1	ENSG00000236360	RP11-334A14.2	53458868	53459374	pseudogene
1	ENSG00000174348	PODN	53527854	53551174	protein_coding
1	ENSG00000162383	SLC1A7	53552855	53608289	protein_coding
1	ENSG00000162385	MAGOH	53692564	53704282	protein_coding
1	ENSG00000270172	RP5-1024G6.8	53708036	53710212	lincRNA
1	ENSG00000157193	LRP8	53711217	53793742	protein_coding
1	ENSG00000225675	RP4-784A16.5	53793905	53802181	lincRNA
1	ENSG00000143006	DMRTB1	53925072	53933161	protein_coding
1	ENSG00000058804	NDC1	54231133	54304533	protein_coding
1	ENSG00000081870	HSPB11	54382247	54411602	protein_coding
1	ENSG00000203985	LDLRAD1	54474412	54483856	protein_coding
1	ENSG00000197015	AL353898.1	54481327	54481616	pseudogene
1	ENSG00000272091	RP4-758J24.5	54492356	54494172	lincRNA
1	ENSG00000116209	TMEM59	54497347	54519177	protein_coding
1	ENSG00000203276	AL353898.2	54498816	54500553	pseudogene
1	ENSG00000225183	RP4-758J24.4	54555529	54555766	pseudogene
1	ENSG00000212670	AL161915.1	54569968	54571750	protein_coding
1	ENSG00000248835	AL357673.1	54635333	54637997	protein_coding
1	ENSG00000157216	SSBP3	54691105	54879152	protein_coding
1	ENSG00000235741	RP5-866L20.1	54982085	54982932	lincRNA
1	ENSG00000162390	ACOT11	55007930	55104865	protein_coding
1	ENSG00000271723	MROH7	55107459	55207981	protein_coding
1	ENSG00000162396	PARS2	55222571	55230187	protein_coding
1	ENSG00000162398	C1orf177	55271736	55307925	protein_coding
1	ENSG00000162399	BSND	55464606	55476556	protein_coding
1	ENSG00000231095	GYG1P3	55688052	55689045	pseudogene
1	ENSG00000232198	RP4-633H17.2	55838383	55838989	pseudogene
1	ENSG00000234810	RP11-466L17.1	56046710	56200675	lincRNA
